Athlete,Country,Gold,Silver,Bronze,Total,year
Peter Windt,Netherlands,1,0,0,1,2000
Katie Allen,Australia,1,0,0,1,2000
Nikki Hudson,Australia,1,0,0,1,2000
Rachel Imison,Australia,1,0,0,1,2000
Claire Mitchell-Taverner,Australia,1,0,0,1,2000
Angie Skirving-Lambert,Australia,1,0,0,1,2000
Julie Towers,Australia,1,0,0,1,2000
Tang Lin,People's Republic of China,1,0,0,1,2000
Yuan Hua,People's Republic of China,1,0,0,1,2000
Sibelis Veranes,Cuba,1,0,0,1,2000
Séverine Vandenhende,France,1,0,0,1,2000
Giuseppe Maddaloni,Italy,1,0,0,1,2000
Kosei Inoue,Japan,1,0,0,1,2000
Makoto Takimoto,Japan,1,0,0,1,2000
Hüseyin Özkan,Turkey,1,0,0,1,2000
Steph Cook,Great Britain,1,0,0,1,2000
Jean-Christophe Bette,France,1,0,0,1,2000
Yves Hocdé,France,1,0,0,1,2000
Laurent Porchier,France,1,0,0,1,2000
Louis Attrill,Great Britain,1,0,0,1,2000
Simon Dennis,Great Britain,1,0,0,1,2000
Rowley Douglas,Great Britain,1,0,0,1,2000
Luka Grubor,Great Britain,1,0,0,1,2000
Andrew Lindsay,Great Britain,1,0,0,1,2000
Fred Scarlett,Great Britain,1,0,0,1,2000
Steve Trapmore,Great Britain,1,0,0,1,2000
Kieran West,Great Britain,1,0,0,1,2000
Kerstin Kowalski-El-Qalqili,Germany,1,0,0,1,2000
Manja Kowalski,Germany,1,0,0,1,2000
Simone Raineri,Italy,1,0,0,1,2000
Alessio Sartori,Italy,1,0,0,1,2000
Tomasz Kucharski,Poland,1,0,0,1,2000
Maria Dumitrache,Romania,1,0,0,1,2000
Mark Turnbull,Australia,1,0,0,1,2000
Belinda Stowell,Australia,1,0,0,1,2000
Hans-Peter Steinacher,Austria,1,0,0,1,2000
Henrik Blakskjær,Denmark,1,0,0,1,2000
Thomas Jacobsen,Denmark,1,0,0,1,2000
Jyrki Järvi,Finland,1,0,0,1,2000
Iain Percy,Great Britain,1,0,0,1,2000
Magnus Liljedahl,United States,1,0,0,1,2000
Zemfira Meftəkhətddinova,Azerbaijan,1,0,0,1,2000
Cai Yalin,People's Republic of China,1,0,0,1,2000
Sergey Alifirenko,Russian Federation,1,0,0,1,2000
Jonas Edman,Sweden,1,0,0,1,2000
Pia Hansen,Sweden,1,0,0,1,2000
Mykola Milchev,Ukraine,1,0,0,1,2000
Christie Ambrosi,United States,1,0,0,1,2000
Jennifer Brundage,United States,1,0,0,1,2000
Crystl Bustos,United States,1,0,0,1,2000
Danielle Henderson,United States,1,0,0,1,2000
Jennifer McFalls,United States,1,0,0,1,2000
Stacey Nuveman,United States,1,0,0,1,2000
Michelle Venturella,United States,1,0,0,1,2000
Ashley Callus,Australia,1,0,0,1,2000
Bill Kirby,Australia,1,0,0,1,2000
Ian Crocker,United States,1,0,0,1,2000
Tommy Hannan,United States,1,0,0,1,2000
Sam Arsenault,United States,1,0,0,1,2000
B. J. Bedford,United States,1,0,0,1,2000
Lindsay Benko,United States,1,0,0,1,2000
Kim Black,United States,1,0,0,1,2000
Misty Hyman,United States,1,0,0,1,2000
Erin Phenix,United States,1,0,0,1,2000
Yelena Soya,Russian Federation,1,0,0,1,2000
Yuliya Vasilyeva,Russian Federation,1,0,0,1,2000
Olga Vasyukova,Russian Federation,1,0,0,1,2000
Wang Liqin,People's Republic of China,1,0,0,1,2000
Yan Sen,People's Republic of China,1,0,0,1,2000
Staciana Stitts,United States,1,0,0,1,2000
Julia Stowers,United States,1,0,0,1,2000
Lauren Burns,Australia,1,0,0,1,2000
Chen Zhong,People's Republic of China,1,0,0,1,2000
Ángel Matos,Cuba,1,0,0,1,2000
Mikhail Mouroutsos,Greece,1,0,0,1,2000
Jeong Jae-Eun,Republic of Korea,1,0,0,1,2000
Kim Gyeong-Hun,Republic of Korea,1,0,0,1,2000
Lee Seon-Hui,Republic of Korea,1,0,0,1,2000
Steven Lopez,United States,1,0,0,1,2000
Yevgeny Kafelnikov,Russian Federation,1,0,0,1,2000
Brigitte McMahon,Switzerland,1,0,0,1,2000
Dain Blanton,United States,1,0,0,1,2000
Eric Fonoimoana,United States,1,0,0,1,2000
Serena Williams,United States,1,0,0,1,2000
Simon Whitfield,Canada,1,0,0,1,2000
Tai Agüero,Cuba,1,0,0,1,2000
Mirka Francis,Cuba,1,0,0,1,2000
Péter Biros,Hungary,1,0,0,1,2000
Gergő Kiss,Hungary,1,0,0,1,2000
Tamás Märcz,Hungary,1,0,0,1,2000
Tamás Molnár,Hungary,1,0,0,1,2000
Barnabás Steinmetz,Hungary,1,0,0,1,2000
Zoltán Szécsi,Hungary,1,0,0,1,2000
Bulcsú Székely,Hungary,1,0,0,1,2000
Attila Vári,Hungary,1,0,0,1,2000
Chen Xiaomin,People's Republic of China,1,0,0,1,2000
Ding Meiyuan,People's Republic of China,1,0,0,1,2000
Lin Weining,People's Republic of China,1,0,0,1,2000
Yang Xia,People's Republic of China,1,0,0,1,2000
Slobodan Boškan,Serbia,1,0,0,1,2000
Vasa Mijić,Serbia,1,0,0,1,2000
Ivan Miljković,Serbia,1,0,0,1,2000
Igor Vušurović,Montenegro,1,0,0,1,2000
Ioana Olteanu,Romania,1,0,0,1,2000
Naomi Castle,Australia,1,0,0,1,2000
Joanne Fox,Australia,1,0,0,1,2000
Bridgette Gusterson,Australia,1,0,0,1,2000
Simone Hankin,Australia,1,0,0,1,2000
Yvette Higgins,Australia,1,0,0,1,2000
Kate Hooper,Australia,1,0,0,1,2000
Bronwyn Mayer-Smith,Australia,1,0,0,1,2000
Gail Miller,Australia,1,0,0,1,2000
Melissa Mills,Australia,1,0,0,1,2000
Debbie Watson,Australia,1,0,0,1,2000
Liz Weekes,Australia,1,0,0,1,2000
Danielle Woodhouse,Australia,1,0,0,1,2000
Taryn Woods,Australia,1,0,0,1,2000
Galabin Boevski,Bulgaria,1,0,0,1,2000
Hossein Reza Zadeh,Islamic Republic of Iran,1,0,0,1,2000
Hossein Tavakoli,Islamic Republic of Iran,1,0,0,1,2000
Soraya Jiménez,Mexico,1,0,0,1,2000
Tara Nott-Cunningham,United States,1,0,0,1,2000
Daniel Igali,Canada,1,0,0,1,2000
Murat Kardanov,Russian Federation,1,0,0,1,2000
David Musuľbes,Russian Federation,1,0,0,1,2000
Murad Umakhanov,Russian Federation,1,0,0,1,2000
Adam Saytiyev,Russian Federation,1,0,0,1,2000
Varteres Samurgashev,Russian Federation,1,0,0,1,2000
Ali Reza Dabir,Islamic Republic of Iran,1,0,0,1,2000
Rulon Gardner,United States,1,0,0,1,2000
Brandon Slay,United States,1,0,0,1,2000
Irina Pershina,Russian Federation,1,0,0,1,2000
Petria Thomas,Australia,0,2,1,3,2000
Therèse Alshammar,Sweden,0,2,1,3,2000
Yekaterina Lobaznyuk,Russian Federation,0,2,1,3,2000
Matt Welsh,Australia,0,2,1,3,2000
Petar Merkov,Bulgaria,0,2,0,2,2000
Gianna Hablützel-Bürki,Switzerland,0,2,0,2,2000
Eeke van Nes,Netherlands,0,2,0,2,2000
Guo Jingjing,People's Republic of China,0,2,0,2,2000
Miya Tachibana,Japan,0,2,0,2,2000
Miho Takeda,Japan,0,2,0,2,2000
Martina Moravcová,Czech Republic,0,2,0,2,2000
Josh Davis,United States,0,2,0,2,2000
Deon Hemmings,Jamaica,0,2,0,2,2000
Lorraine Graham,Jamaica,0,2,0,2,2000
Tayna Lawrence,Jamaica,0,2,0,2,2000
Katalin Kovács,Hungary,0,2,0,2,2000
Szilvia Szabó,Hungary,0,2,0,2,2000
Hu Jia,People's Republic of China,0,2,0,2,2000
Matthieu Gourdain,France,0,2,0,2,2000
Hugues Obry,France,0,2,0,2,2000
Pieta van Dishoeck,Netherlands,0,2,0,2,2000
Leisel Jones,Australia,0,2,0,2,2000
Giaan Rooney,Australia,0,2,0,2,2000
Liu Guoliang,People's Republic of China,0,1,1,2,2000
Gary Neiwand,Australia,0,1,1,2,2000
Lee Ju-Hyeong,Republic of Korea,0,1,1,2,2000
Ihar Basinski,Belarus,0,1,1,2,2000
Anne Montminy,Canada,0,1,1,2,2000
Mai Nakamura,Japan,0,1,1,2,2000
Beatrice Coadă-Cășlaru,Romania,0,1,1,2,2000
Gete Wami,Ethiopia,0,1,1,2,2000
Beverly McDonald,Jamaica,0,1,1,2,2000
Merlene Ottey-Page,Jamaica,0,1,1,2,2000
Greg Haughton,Jamaica,0,1,1,2,2000
Ato Boldon,Trinidad and Tobago,0,1,1,2,2000
Vic Wunderle,United States,0,1,1,2,2000
Rita König,Germany,0,1,1,2,2000
Aleksey Bondarenko,Russian Federation,0,1,1,2,2000
Yelena Produnova,Russian Federation,0,1,1,2,2000
Oleksandr Beresh,Ukraine,0,1,1,2,2000
Geoff Huegill,Australia,0,1,1,2,2000
Klete Keller,United States,0,1,1,2,2000
Minarti Timur,Indonesia,0,1,0,1,2000
Tri Kusharyanto,Indonesia,0,1,0,1,2000
Todd Woodbridge,Australia,0,1,0,1,2000
Mark Woodforde,Australia,0,1,0,1,2000
Yu Yong-Seong,Republic of Korea,0,1,0,1,2000
Naomi Matsumoto,Japan,0,1,0,1,2000
Haruka Saito,Japan,0,1,0,1,2000
Juri Takayama,Japan,0,1,0,1,2000
Noriko Yamaji,Japan,0,1,0,1,2000
Omar Ajete,Cuba,0,1,0,1,2000
Miguel Caldés,Cuba,0,1,0,1,2000
José Contreras,Cuba,0,1,0,1,2000
Orestes Kindelán,Cuba,0,1,0,1,2000
Pedro Luis Lazo,Cuba,0,1,0,1,2000
Omar Linares,Cuba,0,1,0,1,2000
Juan Manrique,Cuba,0,1,0,1,2000
Germán Mesa,Cuba,0,1,0,1,2000
Antonio Pacheco,Cuba,0,1,0,1,2000
Antonio Scull,Cuba,0,1,0,1,2000
Luis Ulacia,Cuba,0,1,0,1,2000
Matteo Bisiani,Italy,0,1,0,1,2000
Ilario Di Buò,Italy,0,1,0,1,2000
Michele Frangilli,Italy,0,1,0,1,2000
Olena Sadovnycha,Ukraine,0,1,0,1,2000
Camilla Martin,Denmark,0,1,0,1,2000
Jan-Ove Waldner,Sweden,0,1,0,1,2000
Misako Ando,Japan,0,1,0,1,2000
Rafael Lozano,Spain,0,1,0,1,2000
Bolat Zhumadilov,Kazakhstan,0,1,0,1,2000
Carla Boyd,Australia,0,1,0,1,2000
Michelle Brogan-Griffiths,Australia,0,1,0,1,2000
Sandy Brondello,Australia,0,1,0,1,2000
Trish Fallon,Australia,0,1,0,1,2000
Shelley Gorman-Sandie,Australia,0,1,0,1,2000
Rachael Sporn,Australia,0,1,0,1,2000
Michele Timms,Australia,0,1,0,1,2000
Jenny Whittle,Australia,0,1,0,1,2000
Marian Simion,Romania,0,1,0,1,2000
Raimkul Malakhbekov,Russian Federation,0,1,0,1,2000
Danny Collins,Australia,0,1,0,1,2000
Andrew Trim,Australia,0,1,0,1,2000
Caroline Brunet,Canada,0,1,0,1,2000
Paul Ratcliffe,Great Britain,0,1,0,1,2000
Mark Zabel,Germany,0,1,0,1,2000
Rita Kőbán,Hungary,0,1,0,1,2000
Paweł Baraszkiewicz,Poland,0,1,0,1,2000
Krzysztof Kołomański,Poland,0,1,0,1,2000
Michał Staniszewski,Poland,0,1,0,1,2000
Michal Martikán,Slovakia,0,1,0,1,2000
Henrik Nilsson,Sweden,0,1,0,1,2000
Markus Oscarsson,Sweden,0,1,0,1,2000
Ellen Bontje,Netherlands,0,1,0,1,2000
Lesley McNaught-Mändli,Switzerland,0,1,0,1,2000
Markus Fuchs,Switzerland,0,1,0,1,2000
Beat Mändli,Switzerland,0,1,0,1,2000
Willi Melliger,Switzerland,0,1,0,1,2000
Ian Stark,Great Britain,0,1,0,1,2000
Marion Clignet,France,0,1,0,1,2000
Michelle Ferris,Australia,0,1,0,1,2000
Oksana Grishina,Russian Federation,0,1,0,1,2000
Étienne De Wilde,Belgium,0,1,0,1,2000
Oleksandr Fedenko,Ukraine,0,1,0,1,2000
Serhiy Matvieiev,Ukraine,0,1,0,1,2000
Oleksandr Symonenko,Ukraine,0,1,0,1,2000
Aleksandr Vinokurov,Kazakhstan,0,1,0,1,2000
Milton Wynants,Uruguay,0,1,0,1,2000
Magdalena Aicega,Argentina,0,1,0,1,2000
Anabel Gambero,Argentina,0,1,0,1,2000
Karina Masotta,Argentina,0,1,0,1,2000
Vanina Oneto,Argentina,0,1,0,1,2000
Jorgelina Rimoldi,Argentina,0,1,0,1,2000
Ceci Rognoni,Argentina,0,1,0,1,2000
Ayelén Stepnik,Argentina,0,1,0,1,2000
Jeon Jong-Ha,Republic of Korea,0,1,0,1,2000
Gang Geon-Uk,Republic of Korea,0,1,0,1,2000
Kim Yong-Bae,Republic of Korea,0,1,0,1,2000
Kim Yun,Republic of Korea,0,1,0,1,2000
Song Seong-Tae,Republic of Korea,0,1,0,1,2000
Anna Rybicka,Poland,0,1,0,1,2000
Barbara Wolnicka-Szewczyk,Poland,0,1,0,1,2000
Dong Zhaozhi,People's Republic of China,0,1,0,1,2000
Wang Haibin,People's Republic of China,0,1,0,1,2000
Ye Chong,People's Republic of China,0,1,0,1,2000
Jean-François Di Martino,France,0,1,0,1,2000
Éric Srecki,France,0,1,0,1,2000
Damien Touya,France,0,1,0,1,2000
Brandi Chastain,United States,0,1,0,1,2000
Joy Fawcett,United States,0,1,0,1,2000
Julie Foudy,United States,0,1,0,1,2000
Mia Hamm,United States,0,1,0,1,2000
Kristine Lilly,United States,0,1,0,1,2000
Shannon MacMillan,United States,0,1,0,1,2000
Tiffeny Milbrett,United States,0,1,0,1,2000
Cindy Parlow,United States,0,1,0,1,2000
Éric Poujade,France,0,1,0,1,2000
Oleksandr Svitlychnyi,Ukraine,0,1,0,1,2000
Andrea Farkas,Hungary,0,1,0,1,2000
Anikó Kántor,Hungary,0,1,0,1,2000
Beatrix Kökény,Hungary,0,1,0,1,2000
Anikó Nagy,Hungary,0,1,0,1,2000
Ildikó Pádár,Hungary,0,1,0,1,2000
Beáta Siti,Hungary,0,1,0,1,2000
Magnus Andersson,Sweden,0,1,0,1,2000
Martin Frändesjö,Sweden,0,1,0,1,2000
Andreas Larsson,Sweden,0,1,0,1,2000
Ola Lindgren,Sweden,0,1,0,1,2000
Stefan Lövgren,Sweden,0,1,0,1,2000
Staffan Olsson,Sweden,0,1,0,1,2000
Johan Pettersson,Sweden,0,1,0,1,2000
Tomas Sivertsson,Sweden,0,1,0,1,2000
Tomas Svensson,Sweden,0,1,0,1,2000
Pierre Thorsson,Sweden,0,1,0,1,2000
Magnus Wislander,Sweden,0,1,0,1,2000
Driulis González,Cuba,0,1,0,1,2000
Kate Howey,Great Britain,0,1,0,1,2000
Noriko Sugawara-Narazaki,Japan,0,1,0,1,2000
Larbi Benboudaoud,France,0,1,0,1,2000
Jo In-Cheol,Republic of Korea,0,1,0,1,2000
Nicolas Gill,Canada,0,1,0,1,2000
Kate Slatter,Australia,0,1,0,1,2000
Simon Burgess,Australia,0,1,0,1,2000
Anthony Edwards,Australia,0,1,0,1,2000
Jaime Fernandez,Australia,0,1,0,1,2000
Brett Hayman,Australia,0,1,0,1,2000
Rob Jahrling,Australia,0,1,0,1,2000
Mike McKay,Australia,0,1,0,1,2000
Nick Porzig,Australia,0,1,0,1,2000
Rumyana Dzhadzharova-Neykova,Bulgaria,0,1,0,1,2000
Guin Batten,Great Britain,0,1,0,1,2000
Miriam Batten,Great Britain,0,1,0,1,2000
Gillian Lindsay,Great Britain,0,1,0,1,2000
Lorenzo Carboncini,Italy,0,1,0,1,2000
Riccardo Dei Rossi,Italy,0,1,0,1,2000
Valter Molea,Italy,0,1,0,1,2000
Carlo Mornati,Italy,0,1,0,1,2000
Leonardo Pettinari,Italy,0,1,0,1,2000
Tessa Appeldoorn,Netherlands,0,1,0,1,2000
Elien Meijer,Netherlands,0,1,0,1,2000
Nelleke Penninx,Netherlands,0,1,0,1,2000
Anneke Venema,Netherlands,0,1,0,1,2000
Marieke Westerhof,Netherlands,0,1,0,1,2000
Michiel Bartman,Netherlands,0,1,0,1,2000
Diederik Simon,Netherlands,0,1,0,1,2000
Fredrik Bekken,Norway,0,1,0,1,2000
Olaf Tufte,Norway,0,1,0,1,2000
Xeno Müller,Switzerland,0,1,0,1,2000
Ted Murphy,United States,0,1,0,1,2000
Russell Mark,Australia,0,1,0,1,2000
Wang Yifu,People's Republic of China,0,1,0,1,2000
Torben Grimmel,Denmark,0,1,0,1,2000
Juha Hirvi,Finland,0,1,0,1,2000
Ian Peel,Great Britain,0,1,0,1,2000
Deborah Gelisio,Italy,0,1,0,1,2000
Oleg Moldovan,Republic of Moldova,0,1,0,1,2000
Svetlana Dyomina,Russian Federation,0,1,0,1,2000
Artyom Khadzhibekov,Russian Federation,0,1,0,1,2000
Michel Ansermet,Switzerland,0,1,0,1,2000
Petr Málek,Czech Republic,0,1,0,1,2000
Jasna Šekarić,Individual Olympic Athletes,0,1,0,1,2000
Sarah Ryan,Australia,0,1,0,1,2000
Ryan Mitchell,Australia,0,1,0,1,2000
Kieren Perkins,Australia,0,1,0,1,2000
Ayano Egami,Japan,0,1,0,1,2000
Raika Fujii,Japan,0,1,0,1,2000
Rei Jimbo,Japan,0,1,0,1,2000
Fernando Platas,Mexico,0,1,0,1,2000
Wilma van Hofwegen-van Rijn,Netherlands,0,1,0,1,2000
Aleksandr Popov,Russian Federation,0,1,0,1,2000
Denys Sylantiev,Ukraine,0,1,0,1,2000
Scott Tucker,United States,0,1,0,1,2000
Zé Marco,Brazil,0,1,0,1,2000
Yevgeniya Artamonova-Estes,Russian Federation,0,1,0,1,2000
Yelena Batukhtina-Tyurina,Russian Federation,0,1,0,1,2000
Lena Godina,Russian Federation,0,1,0,1,2000
Tatyana Gracheva,Russian Federation,0,1,0,1,2000
Nataliya Morozova,Russian Federation,0,1,0,1,2000
Lyubov Sokolova-Shashkova,Russian Federation,0,1,0,1,2000
Yelizaveta Tishchenko,Russian Federation,0,1,0,1,2000
Valery Goryushev,Russian Federation,0,1,0,1,2000
Vadim Khamuttskikh,Russian Federation,0,1,0,1,2000
Aleksey Kazakov,Russian Federation,0,1,0,1,2000
Ruslan Olikhver,Russian Federation,0,1,0,1,2000
Igor Shulepov,Russian Federation,0,1,0,1,2000
Sergey Tetyukhin,Russian Federation,0,1,0,1,2000
Konstantin Ushakov,Russian Federation,0,1,0,1,2000
Dmitry Dugin,Russian Federation,0,1,0,1,2000
Sergey Garbuzov,Russian Federation,0,1,0,1,2000
Dmitry Gorshkov,Russian Federation,0,1,0,1,2000
Aleksandr Yeryshov,Russian Federation,0,1,0,1,2000
Nikolay Kozlov,Russian Federation,0,1,0,1,2000
Nikolay Maksimov,Kazakhstan,0,1,0,1,2000
Dmitry Stratan,Russian Federation,0,1,0,1,2000
Marc Huster,Germany,0,1,0,1,2000
Ronny Weller,East Germany,0,1,0,1,2000
Viktor Mitrou,Greece,0,1,0,1,2000
Leonidas Sabanis,Greece,0,1,0,1,2000
Serafim Barzakov,Bulgaria,0,1,0,1,2000
Juan Luis Marén,Cuba,0,1,0,1,2000
Lázaro Rivas,Cuba,0,1,0,1,2000
Islam Bayramukov,Kazakhstan,0,1,0,1,2000
Aleksandr Karelin,Russian Federation,0,1,0,1,2000
JJ Isler,United States,0,1,0,1,2000
Margriet Matthijsse,Netherlands,0,1,0,1,2000
Luca Devoti,Italy,0,1,0,1,2000
Carlos Espínola,Argentina,0,1,0,1,2000
Paul Foerster,United States,0,1,0,1,2000
John Forbes,Australia,0,1,0,1,2000
Robert Scheidt,Brazil,0,1,0,1,2000
Jochen Schümann,East Germany,0,1,0,1,2000
Ian Walker,Great Britain,0,1,0,1,2000
Mirela Maniani-Tzelili,Albania,0,1,0,1,2000
André da Silva,Brazil,0,1,0,1,2000
Claudinei da Silva,Brazil,0,1,0,1,2000
Édson Ribeiro,Brazil,0,1,0,1,2000
Yoel García,Cuba,0,1,0,1,2000
Javier Sotomayor,Cuba,0,1,0,1,2000
Steve Backley,Great Britain,0,1,0,1,2000
Darren Campbell,Great Britain,0,1,0,1,2000
Lars Riedel,Germany,0,1,0,1,2000
Anastasia Kelesidou,Greece,0,1,0,1,2000
Aikaterini Thanou,Greece,0,1,0,1,2000
Sonia O'Sullivan,Ireland,0,1,0,1,2000
Fiona May,Great Britain,0,1,0,1,2000
Merlene Frazer,Jamaica,0,1,0,1,2000
Sandie Richards,Jamaica,0,1,0,1,2000
Catherine Pomales-Scott,Jamaica,0,1,0,1,2000
Michael McDonald,Jamaica,0,1,0,1,2000
Paul Tergat,Kenya,0,1,0,1,2000
Eric Wainaina,Kenya,0,1,0,1,2000
Hadi Soua'an Al-Somaily,Kingdom of Saudi Arabia,0,1,0,1,2000
Aigars Fadejevs,Latvia,0,1,0,1,2000
Hicham El Guerrouj,Morocco,0,1,0,1,2000
Violeta Beclea-Szekely,Romania,0,1,0,1,2000
Lidia Șimon,Romania,0,1,0,1,2000
Susanthika Jayasinghe,Sri Lanka,0,1,0,1,2000
Alvin Harrison,United States,0,1,0,1,2000
Lawrence Johnson,United States,0,1,0,1,2000
Hendrawan,Indonesia,0,1,0,1,2000
Thierry Gadou,France,0,1,0,1,2000
Cyril Julian,France,0,1,0,1,2000
Crawford Palmer,France,0,1,0,1,2000
Antoine Rigaudeau,France,0,1,0,1,2000
Stéphane Risacher,France,0,1,0,1,2000
Laurent Sciarra,France,0,1,0,1,2000
Moustapha Sonko,France,0,1,0,1,2000
Frédéric Weis,France,0,1,0,1,2000
Kristi Harrower,Australia,0,1,0,1,2000
Jo Hill,Australia,0,1,0,1,2000
Lauren Jackson,Australia,0,1,0,1,2000
Annie La Fleur,Australia,0,1,0,1,2000
Nataliya Burdeina,Ukraine,0,1,0,1,2000
Kateryna Serdiuk,Ukraine,0,1,0,1,2000
Ali Saïdi-Sief,Algeria,0,1,0,1,2000
Tatiana Grigorieva,Australia,0,1,0,1,2000
Jai Taurima,Australia,0,1,0,1,2000
Steffi Graf,Austria,0,1,0,1,2000
Vicente Lenílson,Brazil,0,1,0,1,2000
Cláudio Sousa,Brazil,0,1,0,1,2000
Roman Šebrle,Czech Republic,0,1,0,1,2000
Wilson Kipketer,Denmark,0,1,0,1,2000
Nicola Vizzoni,Italy,0,1,0,1,2000
Sanjay Ayre,Jamaica,0,1,0,1,2000
Michael Blackwood,Jamaica,0,1,0,1,2000
Michelle Burgher,Jamaica,0,1,0,1,2000
Veronica Campbell-Brown,Jamaica,0,1,0,1,2000
Charmaine Howell,Jamaica,0,1,0,1,2000
Danny McFarlane,Jamaica,0,1,0,1,2000
Chris Williams,Jamaica,0,1,0,1,2000
Wilson Boit Kipketer,Kenya,0,1,0,1,2000
Noé Hernández,Mexico,0,1,0,1,2000
Glory Alozie,Nigeria,0,1,0,1,2000
Kjersti Tysse-Plätzer,Norway,0,1,0,1,2000
Hestrie Storbeck-Cloete,South Africa,0,1,0,1,2000
Olga Kuzenkova,Russian Federation,0,1,0,1,2000
Tatyana Lebedeva,Russian Federation,0,1,0,1,2000
Larisa Peleshenko,Russian Federation,0,1,0,1,2000
Yelena Prokhorova,Russian Federation,0,1,0,1,2000
Beatrix Balogh,Hungary,0,1,0,1,2000
Rita Deli,Hungary,0,1,0,1,2000
Ágnes Farkas,Hungary,0,1,0,1,2000
Anita Kulcsár,Hungary,0,1,0,1,2000
Dóra Lőwy,Hungary,0,1,0,1,2000
Katalin Pálinger,Hungary,0,1,0,1,2000
Krisztina Pigniczki-Sepsi,Hungary,0,1,0,1,2000
Bojana Radulovics,Hungary,0,1,0,1,2000
Judit Simics-Zsemberi,Hungary,0,1,0,1,2000
Christian Ryan,Australia,0,1,0,1,2000
Rachael Taylor,Australia,0,1,0,1,2000
Stuart Welch,Australia,0,1,0,1,2000
Adam Nelson,United States,0,1,0,1,2000
Terrence Trammell,United States,0,1,0,1,2000
Huang Nanyan,People's Republic of China,0,1,0,1,2000
Yang Wei,People's Republic of China,0,1,0,1,2000
Lee Dong-Su,Republic of Korea,0,1,0,1,2000
Yovany Aragón,Cuba,0,1,0,1,2000
Danel Castro,Cuba,0,1,0,1,2000
Yobal Dueñas,Cuba,0,1,0,1,2000
Yasser Gómez,Cuba,0,1,0,1,2000
José Ibar,Cuba,0,1,0,1,2000
Óscar Macías,Cuba,0,1,0,1,2000
Javier Méndez,Cuba,0,1,0,1,2000
Rolando Meriño,Cuba,0,1,0,1,2000
Emily deRiel,United States,0,1,0,1,2000
Darren Balmforth,Australia,0,1,0,1,2000
Dan Burke,Australia,0,1,0,1,2000
Alastair Gordon,Australia,0,1,0,1,2000
Robert Richards,Australia,0,1,0,1,2000
Yumiko Fujii,Japan,0,1,0,1,2000
Taeko Ishikawa,Japan,0,1,0,1,2000
Kazue Ito,Japan,0,1,0,1,2000
Yoshimi Kobayashi,Japan,0,1,0,1,2000
Shiori Koseki,Japan,0,1,0,1,2000
Mariko Masubuchi,Japan,0,1,0,1,2000
Emi Naito,Japan,0,1,0,1,2000
Hiroko Tamoto,Japan,0,1,0,1,2000
Reika Utsugi,Japan,0,1,0,1,2000
Miyo Yamada,Japan,0,1,0,1,2000
Ariel Pestano,Cuba,0,1,0,1,2000
Gabriel Pierre,Cuba,0,1,0,1,2000
Maels Rodríguez,Cuba,0,1,0,1,2000
Lázaro Valle,Cuba,0,1,0,1,2000
Norge Luis Vera,Cuba,0,1,0,1,2000
Jim Bilba,France,0,1,0,1,2000
Yann Bonato,France,0,1,0,1,2000
Makan Dioumassi,France,0,1,0,1,2000
Laurent Foirest,France,0,1,0,1,2000
Rudi Kraj,Czech Republic,0,1,0,1,2000
Mukhtarkhan Dildabekov,Kazakhstan,0,1,0,1,2000
Gaydarbek Gaydarbekov,Russian Federation,0,1,0,1,2000
Sultan Ibragimov,Russian Federation,0,1,0,1,2000
Serhiy Dotsenko,Ukraine,0,1,0,1,2000
Andriy Kotelnyk,Ukraine,0,1,0,1,2000
Rocky Juárez,United States,0,1,0,1,2000
"Ricardo Williams, Jr.",United States,0,1,0,1,2000
Ledys Balceiro,Cuba,0,1,0,1,2000
Leobaldo Pereira,Cuba,0,1,0,1,2000
Ibrahim Rojas,Cuba,0,1,0,1,2000
Brigitte Guibal,France,0,1,0,1,2000
Björn Bach,Germany,0,1,0,1,2000
Jan Schäfer,Germany,0,1,0,1,2000
Stefan Ulm,Germany,0,1,0,1,2000
Erzsébet Viski,Hungary,0,1,0,1,2000
Daniel Jędraszko,Poland,0,1,0,1,2000
Maksim Opalev,Russian Federation,0,1,0,1,2000
Matthew Gilmore,Belgium,0,1,0,1,2000
Filip Meirhaeghe,Belgium,0,1,0,1,2000
Chris Hoy,Great Britain,0,1,0,1,2000
Craig MacLean,Great Britain,0,1,0,1,2000
Hanka Kupfernagel,Germany,0,1,0,1,2000
Stefan Nimke,Germany,0,1,0,1,2000
Barbara Blatter,Switzerland,0,1,0,1,2000
Serhiy Cherniavskyi,Ukraine,0,1,0,1,2000
Mari Holden,United States,0,1,0,1,2000
Emilie Heymans,Canada,0,1,0,1,2000
Aleksandr Dobroskok,Russian Federation,0,1,0,1,2000
Jeanette Brakewell,Great Britain,0,1,0,1,2000
Pippa Funnell,Great Britain,0,1,0,1,2000
Leslie Law,Great Britain,0,1,0,1,2000
Arjen Teeuwissen,Netherlands,0,1,0,1,2000
Coby van Baalen,Netherlands,0,1,0,1,2000
Albert Voorn,Netherlands,0,1,0,1,2000
Julien Pillet,France,0,1,0,1,2000
Ralf Bißdorf,Germany,0,1,0,1,2000
Sylwia Gruchała,Poland,0,1,0,1,2000
Magdalena Mroczkiewicz,Poland,0,1,0,1,2000
Sophie Lamon,Switzerland,0,1,0,1,2000
Diana Romagnoli,Switzerland,0,1,0,1,2000
Lorrie Fair,United States,0,1,0,1,2000
